CaseName,TimeStep,B0x,B0y,B0z,ns,__CatalystChannel__,TimeValue,ScalarField,FILE
GEM,2000,0.0195,0,0,4,particles,500,mag(B),data/GEM_2000_0.0195_0_0_4_particles_500_mag(B).vtu
GEM,2001,0.0195,0,0,4,particles,500.25,mag(B),data/GEM_2001_0.0195_0_0_4_particles_500.25_mag(B).vtu
GEM,2002,0.0195,0,0,4,particles,500.5,mag(B),data/GEM_2002_0.0195_0_0_4_particles_500.5_mag(B).vtu
GEM,2003,0.0195,0,0,4,particles,500.75,mag(B),data/GEM_2003_0.0195_0_0_4_particles_500.75_mag(B).vtu
GEM,2004,0.0195,0,0,4,particles,501,mag(B),data/GEM_2004_0.0195_0_0_4_particles_501_mag(B).vtu
GEM,2005,0.0195,0,0,4,particles,501.25,mag(B),data/GEM_2005_0.0195_0_0_4_particles_501.25_mag(B).vtu
GEM,2006,0.0195,0,0,4,particles,501.5,mag(B),data/GEM_2006_0.0195_0_0_4_particles_501.5_mag(B).vtu
GEM,2007,0.0195,0,0,4,particles,501.75,mag(B),data/GEM_2007_0.0195_0_0_4_particles_501.75_mag(B).vtu
GEM,2008,0.0195,0,0,4,particles,502,mag(B),data/GEM_2008_0.0195_0_0_4_particles_502_mag(B).vtu
GEM,2009,0.0195,0,0,4,particles,502.25,mag(B),data/GEM_2009_0.0195_0_0_4_particles_502.25_mag(B).vtu
GEM,2010,0.0195,0,0,4,particles,502.5,mag(B),data/GEM_2010_0.0195_0_0_4_particles_502.5_mag(B).vtu
GEM,2011,0.0195,0,0,4,particles,502.75,mag(B),data/GEM_2011_0.0195_0_0_4_particles_502.75_mag(B).vtu
GEM,2012,0.0195,0,0,4,particles,503,mag(B),data/GEM_2012_0.0195_0_0_4_particles_503_mag(B).vtu
GEM,2013,0.0195,0,0,4,particles,503.25,mag(B),data/GEM_2013_0.0195_0_0_4_particles_503.25_mag(B).vtu
GEM,2014,0.0195,0,0,4,particles,503.5,mag(B),data/GEM_2014_0.0195_0_0_4_particles_503.5_mag(B).vtu
GEM,2015,0.0195,0,0,4,particles,503.75,mag(B),data/GEM_2015_0.0195_0_0_4_particles_503.75_mag(B).vtu
GEM,2016,0.0195,0,0,4,particles,504,mag(B),data/GEM_2016_0.0195_0_0_4_particles_504_mag(B).vtu
GEM,2017,0.0195,0,0,4,particles,504.25,mag(B),data/GEM_2017_0.0195_0_0_4_particles_504.25_mag(B).vtu
GEM,2018,0.0195,0,0,4,particles,504.5,mag(B),data/GEM_2018_0.0195_0_0_4_particles_504.5_mag(B).vtu
GEM,2019,0.0195,0,0,4,particles,504.75,mag(B),data/GEM_2019_0.0195_0_0_4_particles_504.75_mag(B).vtu
GEM,2020,0.0195,0,0,4,particles,505,mag(B),data/GEM_2020_0.0195_0_0_4_particles_505_mag(B).vtu
GEM,2021,0.0195,0,0,4,particles,505.25,mag(B),data/GEM_2021_0.0195_0_0_4_particles_505.25_mag(B).vtu
GEM,2022,0.0195,0,0,4,particles,505.5,mag(B),data/GEM_2022_0.0195_0_0_4_particles_505.5_mag(B).vtu
GEM,2023,0.0195,0,0,4,particles,505.75,mag(B),data/GEM_2023_0.0195_0_0_4_particles_505.75_mag(B).vtu
GEM,2024,0.0195,0,0,4,particles,506,mag(B),data/GEM_2024_0.0195_0_0_4_particles_506_mag(B).vtu
GEM,2025,0.0195,0,0,4,particles,506.25,mag(B),data/GEM_2025_0.0195_0_0_4_particles_506.25_mag(B).vtu
GEM,2026,0.0195,0,0,4,particles,506.5,mag(B),data/GEM_2026_0.0195_0_0_4_particles_506.5_mag(B).vtu
GEM,2027,0.0195,0,0,4,particles,506.75,mag(B),data/GEM_2027_0.0195_0_0_4_particles_506.75_mag(B).vtu
GEM,2028,0.0195,0,0,4,particles,507,mag(B),data/GEM_2028_0.0195_0_0_4_particles_507_mag(B).vtu
GEM,2029,0.0195,0,0,4,particles,507.25,mag(B),data/GEM_2029_0.0195_0_0_4_particles_507.25_mag(B).vtu
GEM,2030,0.0195,0,0,4,particles,507.5,mag(B),data/GEM_2030_0.0195_0_0_4_particles_507.5_mag(B).vtu
GEM,2031,0.0195,0,0,4,particles,507.75,mag(B),data/GEM_2031_0.0195_0_0_4_particles_507.75_mag(B).vtu
GEM,2032,0.0195,0,0,4,particles,508,mag(B),data/GEM_2032_0.0195_0_0_4_particles_508_mag(B).vtu
GEM,2033,0.0195,0,0,4,particles,508.25,mag(B),data/GEM_2033_0.0195_0_0_4_particles_508.25_mag(B).vtu
GEM,2034,0.0195,0,0,4,particles,508.5,mag(B),data/GEM_2034_0.0195_0_0_4_particles_508.5_mag(B).vtu
GEM,2035,0.0195,0,0,4,particles,508.75,mag(B),data/GEM_2035_0.0195_0_0_4_particles_508.75_mag(B).vtu
GEM,2036,0.0195,0,0,4,particles,509,mag(B),data/GEM_2036_0.0195_0_0_4_particles_509_mag(B).vtu
GEM,2037,0.0195,0,0,4,particles,509.25,mag(B),data/GEM_2037_0.0195_0_0_4_particles_509.25_mag(B).vtu
GEM,2038,0.0195,0,0,4,particles,509.5,mag(B),data/GEM_2038_0.0195_0_0_4_particles_509.5_mag(B).vtu
GEM,2039,0.0195,0,0,4,particles,509.75,mag(B),data/GEM_2039_0.0195_0_0_4_particles_509.75_mag(B).vtu
