CaseName,Step,B0x,B0y,B0z,ns,__CatalystChannel__,TimeStep,ScalarField,FILE
GEM,1850,0.0195,0,0.0195,2,particles,462.5,mag(B),data/GEM_1850_0.0195_0_0.0195_2_particles_462.5_mag(B).vtu
GEM,1851,0.0195,0,0.0195,2,particles,462.75,mag(B),data/GEM_1851_0.0195_0_0.0195_2_particles_462.75_mag(B).vtu
GEM,1852,0.0195,0,0.0195,2,particles,463,mag(B),data/GEM_1852_0.0195_0_0.0195_2_particles_463_mag(B).vtu
GEM,1853,0.0195,0,0.0195,2,particles,463.25,mag(B),data/GEM_1853_0.0195_0_0.0195_2_particles_463.25_mag(B).vtu
GEM,1854,0.0195,0,0.0195,2,particles,463.5,mag(B),data/GEM_1854_0.0195_0_0.0195_2_particles_463.5_mag(B).vtu
GEM,1855,0.0195,0,0.0195,2,particles,463.75,mag(B),data/GEM_1855_0.0195_0_0.0195_2_particles_463.75_mag(B).vtu
GEM,1856,0.0195,0,0.0195,2,particles,464,mag(B),data/GEM_1856_0.0195_0_0.0195_2_particles_464_mag(B).vtu
GEM,1857,0.0195,0,0.0195,2,particles,464.25,mag(B),data/GEM_1857_0.0195_0_0.0195_2_particles_464.25_mag(B).vtu
GEM,1858,0.0195,0,0.0195,2,particles,464.5,mag(B),data/GEM_1858_0.0195_0_0.0195_2_particles_464.5_mag(B).vtu
GEM,1859,0.0195,0,0.0195,2,particles,464.75,mag(B),data/GEM_1859_0.0195_0_0.0195_2_particles_464.75_mag(B).vtu
GEM,1860,0.0195,0,0.0195,2,particles,465,mag(B),data/GEM_1860_0.0195_0_0.0195_2_particles_465_mag(B).vtu
GEM,1861,0.0195,0,0.0195,2,particles,465.25,mag(B),data/GEM_1861_0.0195_0_0.0195_2_particles_465.25_mag(B).vtu
GEM,1862,0.0195,0,0.0195,2,particles,465.5,mag(B),data/GEM_1862_0.0195_0_0.0195_2_particles_465.5_mag(B).vtu
GEM,1863,0.0195,0,0.0195,2,particles,465.75,mag(B),data/GEM_1863_0.0195_0_0.0195_2_particles_465.75_mag(B).vtu
GEM,1864,0.0195,0,0.0195,2,particles,466,mag(B),data/GEM_1864_0.0195_0_0.0195_2_particles_466_mag(B).vtu
GEM,1865,0.0195,0,0.0195,2,particles,466.25,mag(B),data/GEM_1865_0.0195_0_0.0195_2_particles_466.25_mag(B).vtu
GEM,1866,0.0195,0,0.0195,2,particles,466.5,mag(B),data/GEM_1866_0.0195_0_0.0195_2_particles_466.5_mag(B).vtu
GEM,1867,0.0195,0,0.0195,2,particles,466.75,mag(B),data/GEM_1867_0.0195_0_0.0195_2_particles_466.75_mag(B).vtu
GEM,1868,0.0195,0,0.0195,2,particles,467,mag(B),data/GEM_1868_0.0195_0_0.0195_2_particles_467_mag(B).vtu
GEM,1869,0.0195,0,0.0195,2,particles,467.25,mag(B),data/GEM_1869_0.0195_0_0.0195_2_particles_467.25_mag(B).vtu
GEM,1870,0.0195,0,0.0195,2,particles,467.5,mag(B),data/GEM_1870_0.0195_0_0.0195_2_particles_467.5_mag(B).vtu
GEM,1871,0.0195,0,0.0195,2,particles,467.75,mag(B),data/GEM_1871_0.0195_0_0.0195_2_particles_467.75_mag(B).vtu
GEM,1872,0.0195,0,0.0195,2,particles,468,mag(B),data/GEM_1872_0.0195_0_0.0195_2_particles_468_mag(B).vtu
GEM,1873,0.0195,0,0.0195,2,particles,468.25,mag(B),data/GEM_1873_0.0195_0_0.0195_2_particles_468.25_mag(B).vtu
GEM,1874,0.0195,0,0.0195,2,particles,468.5,mag(B),data/GEM_1874_0.0195_0_0.0195_2_particles_468.5_mag(B).vtu
GEM,1875,0.0195,0,0.0195,2,particles,468.75,mag(B),data/GEM_1875_0.0195_0_0.0195_2_particles_468.75_mag(B).vtu
GEM,1876,0.0195,0,0.0195,2,particles,469,mag(B),data/GEM_1876_0.0195_0_0.0195_2_particles_469_mag(B).vtu
GEM,1877,0.0195,0,0.0195,2,particles,469.25,mag(B),data/GEM_1877_0.0195_0_0.0195_2_particles_469.25_mag(B).vtu
GEM,1878,0.0195,0,0.0195,2,particles,469.5,mag(B),data/GEM_1878_0.0195_0_0.0195_2_particles_469.5_mag(B).vtu
GEM,1879,0.0195,0,0.0195,2,particles,469.75,mag(B),data/GEM_1879_0.0195_0_0.0195_2_particles_469.75_mag(B).vtu
GEM,1880,0.0195,0,0.0195,2,particles,470,mag(B),data/GEM_1880_0.0195_0_0.0195_2_particles_470_mag(B).vtu
GEM,1881,0.0195,0,0.0195,2,particles,470.25,mag(B),data/GEM_1881_0.0195_0_0.0195_2_particles_470.25_mag(B).vtu
GEM,1882,0.0195,0,0.0195,2,particles,470.5,mag(B),data/GEM_1882_0.0195_0_0.0195_2_particles_470.5_mag(B).vtu
GEM,1883,0.0195,0,0.0195,2,particles,470.75,mag(B),data/GEM_1883_0.0195_0_0.0195_2_particles_470.75_mag(B).vtu
GEM,1884,0.0195,0,0.0195,2,particles,471,mag(B),data/GEM_1884_0.0195_0_0.0195_2_particles_471_mag(B).vtu
GEM,1885,0.0195,0,0.0195,2,particles,471.25,mag(B),data/GEM_1885_0.0195_0_0.0195_2_particles_471.25_mag(B).vtu
GEM,1886,0.0195,0,0.0195,2,particles,471.5,mag(B),data/GEM_1886_0.0195_0_0.0195_2_particles_471.5_mag(B).vtu
GEM,1887,0.0195,0,0.0195,2,particles,471.75,mag(B),data/GEM_1887_0.0195_0_0.0195_2_particles_471.75_mag(B).vtu
GEM,1888,0.0195,0,0.0195,2,particles,472,mag(B),data/GEM_1888_0.0195_0_0.0195_2_particles_472_mag(B).vtu
GEM,1889,0.0195,0,0.0195,2,particles,472.25,mag(B),data/GEM_1889_0.0195_0_0.0195_2_particles_472.25_mag(B).vtu
GEM,1890,0.0195,0,0.0195,2,particles,472.5,mag(B),data/GEM_1890_0.0195_0_0.0195_2_particles_472.5_mag(B).vtu
GEM,1891,0.0195,0,0.0195,2,particles,472.75,mag(B),data/GEM_1891_0.0195_0_0.0195_2_particles_472.75_mag(B).vtu
GEM,1892,0.0195,0,0.0195,2,particles,473,mag(B),data/GEM_1892_0.0195_0_0.0195_2_particles_473_mag(B).vtu
GEM,1893,0.0195,0,0.0195,2,particles,473.25,mag(B),data/GEM_1893_0.0195_0_0.0195_2_particles_473.25_mag(B).vtu
GEM,1894,0.0195,0,0.0195,2,particles,473.5,mag(B),data/GEM_1894_0.0195_0_0.0195_2_particles_473.5_mag(B).vtu
GEM,1895,0.0195,0,0.0195,2,particles,473.75,mag(B),data/GEM_1895_0.0195_0_0.0195_2_particles_473.75_mag(B).vtu
GEM,1896,0.0195,0,0.0195,2,particles,474,mag(B),data/GEM_1896_0.0195_0_0.0195_2_particles_474_mag(B).vtu
GEM,1897,0.0195,0,0.0195,2,particles,474.25,mag(B),data/GEM_1897_0.0195_0_0.0195_2_particles_474.25_mag(B).vtu
GEM,1898,0.0195,0,0.0195,2,particles,474.5,mag(B),data/GEM_1898_0.0195_0_0.0195_2_particles_474.5_mag(B).vtu
GEM,1899,0.0195,0,0.0195,2,particles,474.75,mag(B),data/GEM_1899_0.0195_0_0.0195_2_particles_474.75_mag(B).vtu
GEM,1900,0.0195,0,0.0195,2,particles,475,mag(B),data/GEM_1900_0.0195_0_0.0195_2_particles_475_mag(B).vtu
GEM,1901,0.0195,0,0.0195,2,particles,475.25,mag(B),data/GEM_1901_0.0195_0_0.0195_2_particles_475.25_mag(B).vtu
GEM,1902,0.0195,0,0.0195,2,particles,475.5,mag(B),data/GEM_1902_0.0195_0_0.0195_2_particles_475.5_mag(B).vtu
GEM,1903,0.0195,0,0.0195,2,particles,475.75,mag(B),data/GEM_1903_0.0195_0_0.0195_2_particles_475.75_mag(B).vtu
GEM,1904,0.0195,0,0.0195,2,particles,476,mag(B),data/GEM_1904_0.0195_0_0.0195_2_particles_476_mag(B).vtu
GEM,1905,0.0195,0,0.0195,2,particles,476.25,mag(B),data/GEM_1905_0.0195_0_0.0195_2_particles_476.25_mag(B).vtu
GEM,1906,0.0195,0,0.0195,2,particles,476.5,mag(B),data/GEM_1906_0.0195_0_0.0195_2_particles_476.5_mag(B).vtu
GEM,1907,0.0195,0,0.0195,2,particles,476.75,mag(B),data/GEM_1907_0.0195_0_0.0195_2_particles_476.75_mag(B).vtu
GEM,1908,0.0195,0,0.0195,2,particles,477,mag(B),data/GEM_1908_0.0195_0_0.0195_2_particles_477_mag(B).vtu
GEM,1909,0.0195,0,0.0195,2,particles,477.25,mag(B),data/GEM_1909_0.0195_0_0.0195_2_particles_477.25_mag(B).vtu
GEM,1910,0.0195,0,0.0195,2,particles,477.5,mag(B),data/GEM_1910_0.0195_0_0.0195_2_particles_477.5_mag(B).vtu
GEM,1911,0.0195,0,0.0195,2,particles,477.75,mag(B),data/GEM_1911_0.0195_0_0.0195_2_particles_477.75_mag(B).vtu
GEM,1912,0.0195,0,0.0195,2,particles,478,mag(B),data/GEM_1912_0.0195_0_0.0195_2_particles_478_mag(B).vtu
GEM,1913,0.0195,0,0.0195,2,particles,478.25,mag(B),data/GEM_1913_0.0195_0_0.0195_2_particles_478.25_mag(B).vtu
GEM,1914,0.0195,0,0.0195,2,particles,478.5,mag(B),data/GEM_1914_0.0195_0_0.0195_2_particles_478.5_mag(B).vtu
GEM,1915,0.0195,0,0.0195,2,particles,478.75,mag(B),data/GEM_1915_0.0195_0_0.0195_2_particles_478.75_mag(B).vtu
GEM,1916,0.0195,0,0.0195,2,particles,479,mag(B),data/GEM_1916_0.0195_0_0.0195_2_particles_479_mag(B).vtu
GEM,1917,0.0195,0,0.0195,2,particles,479.25,mag(B),data/GEM_1917_0.0195_0_0.0195_2_particles_479.25_mag(B).vtu
GEM,1918,0.0195,0,0.0195,2,particles,479.5,mag(B),data/GEM_1918_0.0195_0_0.0195_2_particles_479.5_mag(B).vtu
GEM,1919,0.0195,0,0.0195,2,particles,479.75,mag(B),data/GEM_1919_0.0195_0_0.0195_2_particles_479.75_mag(B).vtu
GEM,1920,0.0195,0,0.0195,2,particles,480,mag(B),data/GEM_1920_0.0195_0_0.0195_2_particles_480_mag(B).vtu
GEM,1921,0.0195,0,0.0195,2,particles,480.25,mag(B),data/GEM_1921_0.0195_0_0.0195_2_particles_480.25_mag(B).vtu
GEM,1922,0.0195,0,0.0195,2,particles,480.5,mag(B),data/GEM_1922_0.0195_0_0.0195_2_particles_480.5_mag(B).vtu
GEM,1923,0.0195,0,0.0195,2,particles,480.75,mag(B),data/GEM_1923_0.0195_0_0.0195_2_particles_480.75_mag(B).vtu
GEM,1924,0.0195,0,0.0195,2,particles,481,mag(B),data/GEM_1924_0.0195_0_0.0195_2_particles_481_mag(B).vtu
GEM,1925,0.0195,0,0.0195,2,particles,481.25,mag(B),data/GEM_1925_0.0195_0_0.0195_2_particles_481.25_mag(B).vtu
GEM,1926,0.0195,0,0.0195,2,particles,481.5,mag(B),data/GEM_1926_0.0195_0_0.0195_2_particles_481.5_mag(B).vtu
GEM,1927,0.0195,0,0.0195,2,particles,481.75,mag(B),data/GEM_1927_0.0195_0_0.0195_2_particles_481.75_mag(B).vtu
GEM,1928,0.0195,0,0.0195,2,particles,482,mag(B),data/GEM_1928_0.0195_0_0.0195_2_particles_482_mag(B).vtu
GEM,1929,0.0195,0,0.0195,2,particles,482.25,mag(B),data/GEM_1929_0.0195_0_0.0195_2_particles_482.25_mag(B).vtu
GEM,1930,0.0195,0,0.0195,2,particles,482.5,mag(B),data/GEM_1930_0.0195_0_0.0195_2_particles_482.5_mag(B).vtu
GEM,1931,0.0195,0,0.0195,2,particles,482.75,mag(B),data/GEM_1931_0.0195_0_0.0195_2_particles_482.75_mag(B).vtu
GEM,1932,0.0195,0,0.0195,2,particles,483,mag(B),data/GEM_1932_0.0195_0_0.0195_2_particles_483_mag(B).vtu
GEM,1933,0.0195,0,0.0195,2,particles,483.25,mag(B),data/GEM_1933_0.0195_0_0.0195_2_particles_483.25_mag(B).vtu
GEM,1934,0.0195,0,0.0195,2,particles,483.5,mag(B),data/GEM_1934_0.0195_0_0.0195_2_particles_483.5_mag(B).vtu
GEM,1935,0.0195,0,0.0195,2,particles,483.75,mag(B),data/GEM_1935_0.0195_0_0.0195_2_particles_483.75_mag(B).vtu
GEM,1936,0.0195,0,0.0195,2,particles,484,mag(B),data/GEM_1936_0.0195_0_0.0195_2_particles_484_mag(B).vtu
GEM,1937,0.0195,0,0.0195,2,particles,484.25,mag(B),data/GEM_1937_0.0195_0_0.0195_2_particles_484.25_mag(B).vtu
GEM,1938,0.0195,0,0.0195,2,particles,484.5,mag(B),data/GEM_1938_0.0195_0_0.0195_2_particles_484.5_mag(B).vtu
GEM,1939,0.0195,0,0.0195,2,particles,484.75,mag(B),data/GEM_1939_0.0195_0_0.0195_2_particles_484.75_mag(B).vtu
GEM,1940,0.0195,0,0.0195,2,particles,485,mag(B),data/GEM_1940_0.0195_0_0.0195_2_particles_485_mag(B).vtu
GEM,1941,0.0195,0,0.0195,2,particles,485.25,mag(B),data/GEM_1941_0.0195_0_0.0195_2_particles_485.25_mag(B).vtu
GEM,1942,0.0195,0,0.0195,2,particles,485.5,mag(B),data/GEM_1942_0.0195_0_0.0195_2_particles_485.5_mag(B).vtu
GEM,1943,0.0195,0,0.0195,2,particles,485.75,mag(B),data/GEM_1943_0.0195_0_0.0195_2_particles_485.75_mag(B).vtu
GEM,1944,0.0195,0,0.0195,2,particles,486,mag(B),data/GEM_1944_0.0195_0_0.0195_2_particles_486_mag(B).vtu
GEM,1945,0.0195,0,0.0195,2,particles,486.25,mag(B),data/GEM_1945_0.0195_0_0.0195_2_particles_486.25_mag(B).vtu
GEM,1946,0.0195,0,0.0195,2,particles,486.5,mag(B),data/GEM_1946_0.0195_0_0.0195_2_particles_486.5_mag(B).vtu
GEM,1947,0.0195,0,0.0195,2,particles,486.75,mag(B),data/GEM_1947_0.0195_0_0.0195_2_particles_486.75_mag(B).vtu
GEM,1948,0.0195,0,0.0195,2,particles,487,mag(B),data/GEM_1948_0.0195_0_0.0195_2_particles_487_mag(B).vtu
GEM,1949,0.0195,0,0.0195,2,particles,487.25,mag(B),data/GEM_1949_0.0195_0_0.0195_2_particles_487.25_mag(B).vtu
GEM,1950,0.0195,0,0.0195,2,particles,487.5,mag(B),data/GEM_1950_0.0195_0_0.0195_2_particles_487.5_mag(B).vtu
GEM,1951,0.0195,0,0.0195,2,particles,487.75,mag(B),data/GEM_1951_0.0195_0_0.0195_2_particles_487.75_mag(B).vtu
GEM,1952,0.0195,0,0.0195,2,particles,488,mag(B),data/GEM_1952_0.0195_0_0.0195_2_particles_488_mag(B).vtu
GEM,1953,0.0195,0,0.0195,2,particles,488.25,mag(B),data/GEM_1953_0.0195_0_0.0195_2_particles_488.25_mag(B).vtu
GEM,1954,0.0195,0,0.0195,2,particles,488.5,mag(B),data/GEM_1954_0.0195_0_0.0195_2_particles_488.5_mag(B).vtu
GEM,1955,0.0195,0,0.0195,2,particles,488.75,mag(B),data/GEM_1955_0.0195_0_0.0195_2_particles_488.75_mag(B).vtu
GEM,1956,0.0195,0,0.0195,2,particles,489,mag(B),data/GEM_1956_0.0195_0_0.0195_2_particles_489_mag(B).vtu
GEM,1957,0.0195,0,0.0195,2,particles,489.25,mag(B),data/GEM_1957_0.0195_0_0.0195_2_particles_489.25_mag(B).vtu
GEM,1958,0.0195,0,0.0195,2,particles,489.5,mag(B),data/GEM_1958_0.0195_0_0.0195_2_particles_489.5_mag(B).vtu
GEM,1959,0.0195,0,0.0195,2,particles,489.75,mag(B),data/GEM_1959_0.0195_0_0.0195_2_particles_489.75_mag(B).vtu
GEM,1960,0.0195,0,0.0195,2,particles,490,mag(B),data/GEM_1960_0.0195_0_0.0195_2_particles_490_mag(B).vtu
GEM,1961,0.0195,0,0.0195,2,particles,490.25,mag(B),data/GEM_1961_0.0195_0_0.0195_2_particles_490.25_mag(B).vtu
GEM,1962,0.0195,0,0.0195,2,particles,490.5,mag(B),data/GEM_1962_0.0195_0_0.0195_2_particles_490.5_mag(B).vtu
GEM,1963,0.0195,0,0.0195,2,particles,490.75,mag(B),data/GEM_1963_0.0195_0_0.0195_2_particles_490.75_mag(B).vtu
GEM,1964,0.0195,0,0.0195,2,particles,491,mag(B),data/GEM_1964_0.0195_0_0.0195_2_particles_491_mag(B).vtu
GEM,1965,0.0195,0,0.0195,2,particles,491.25,mag(B),data/GEM_1965_0.0195_0_0.0195_2_particles_491.25_mag(B).vtu
GEM,1966,0.0195,0,0.0195,2,particles,491.5,mag(B),data/GEM_1966_0.0195_0_0.0195_2_particles_491.5_mag(B).vtu
GEM,1967,0.0195,0,0.0195,2,particles,491.75,mag(B),data/GEM_1967_0.0195_0_0.0195_2_particles_491.75_mag(B).vtu
GEM,1968,0.0195,0,0.0195,2,particles,492,mag(B),data/GEM_1968_0.0195_0_0.0195_2_particles_492_mag(B).vtu
GEM,1969,0.0195,0,0.0195,2,particles,492.25,mag(B),data/GEM_1969_0.0195_0_0.0195_2_particles_492.25_mag(B).vtu
GEM,1970,0.0195,0,0.0195,2,particles,492.5,mag(B),data/GEM_1970_0.0195_0_0.0195_2_particles_492.5_mag(B).vtu
